season,round,driver,driver_points,driver_wins,driver_standings_pos
2023,21,max_verstappen,549,18,1
2023,21,perez,273,2,2
2023,21,hamilton,232,0,3
2023,21,sainz,200,1,4
2023,21,alonso,200,0,5
2023,21,norris,195,0,6
2023,21,leclerc,188,0,7
2023,21,russell,160,0,8
2023,21,piastri,89,0,9
2023,21,stroll,73,0,10
2023,21,gasly,62,0,11
2023,21,ocon,58,0,12
2023,21,albon,27,0,13
2023,21,tsunoda,13,0,14
2023,21,bottas,10,0,15
2023,21,hulkenberg,9,0,16
2023,21,ricciardo,6,0,17
2023,21,zhou,6,0,18
2023,21,kevin_magnussen,3,0,19
2023,21,lawson,2,0,20
2023,21,sargeant,1,0,21
2023,21,de_vries,0,0,22
2023,22,max_verstappen,575,19,1
2023,22,perez,285,2,2
2023,22,hamilton,234,0,3
2023,22,alonso,206,0,4
2023,22,leclerc,206,0,5
2023,22,norris,205,0,6
2023,22,sainz,200,1,7
2023,22,russell,175,0,8
2023,22,piastri,97,0,9
2023,22,stroll,74,0,10
2023,22,gasly,62,0,11
2023,22,ocon,58,0,12
2023,22,albon,27,0,13
2023,22,tsunoda,17,0,14
2023,22,bottas,10,0,15
2023,22,hulkenberg,9,0,16
2023,22,ricciardo,6,0,17
2023,22,zhou,6,0,18
2023,22,kevin_magnussen,3,0,19
2023,22,lawson,2,0,20
2023,22,sargeant,1,0,21
2023,22,de_vries,0,0,22
